Accelerometer and gyro output
Acce: 0.0071258544921875 0.0015411376953125 -0.9967803955078125
Gyro: 0.029892385005950928 0.008983374573290348 -0.0010791128734126687
Acce: 0.0075225830078125 0.0029754638671875 -0.99493408203125
Gyro: 0.026760241016745567 0.009003881365060806 -0.001246892032213509
Acce: 0.0067291259765625 0.0025177001953125 -0.9952392578125
Gyro: 0.030185865238308907 0.007333546411246061 0.000434361572843045
Acce: 0.0067291259765625 0.0025177001953125 -0.9952392578125
Gyro: 0.030185865238308907 0.007333546411246061 0.000434361572843045
Acce: 0.00604248046875 0.0012664794921875 -0.9961090087890625
Gyro: 0.026090456172823906 0.007719704881310463 -0.0006197175825946033
Acce: 0.0074920654296875 0.002288818359375 -0.9967498779296875
Gyro: 0.027668379247188568 0.007801197934895754 -0.0006290386663749814
Acce: 0.0066070556640625 0.0013427734375 -0.995880126953125
Gyro: 0.02738022617995739 0.007902930490672588 0.00015686018741689622
Acce: 0.005828857421875 0.0009765625 -0.995147705078125
Gyro: 0.026793796569108963 0.007984156720340252 0.00028096348978579044
Acce: 0.006378173828125 0.001129150390625 -0.9959716796875
Gyro: 0.027392208576202393 0.007101318798959255 -0.0010735202813521028
Acce: 0.006378173828125 0.001129150390625 -0.9959716796875
Gyro: 0.027392208576202393 0.007101318798959255 -0.0010735202813521028
Acce: 0.0064544677734375 -9.1552734375e-05 -0.995086669921875
Gyro: 0.02755679376423359 0.008553008548915386 -0.0010548781137913465
Acce: 0.0063934326171875 0.001129150390625 -0.99554443359375
Gyro: 0.026400715112686157 0.00694871973246336 -1.864212754298933e-05
Acce: 0.0051116943359375 0.00177001953125 -0.9962005615234375
Gyro: 0.029092371463775635 0.007538876496255398 -0.0005118595436215401
Acce: 0.005157470703125 0.001312255859375 -0.9962158203125
Gyro: 0.02792058140039444 0.007415572181344032 -0.0004868258547503501
Acce: 0.005157470703125 0.001312255859375 -0.9962158203125
Gyro: 0.02792058140039444 0.007415572181344032 -0.0004868258547503501
Acce: 0.00750732421875 0.00054931640625 -0.9954986572265625
Gyro: 0.028129106387495995 0.006409695837646723 0.00025486451340839267
