Accelerometer and gyro output
Acce: 0.005523681640625 -0.0012359619140625 -0.993621826171875
Gyro: 0.027342408895492554 0.006318349856883287 -0.0003802994033321738
Acce: 0.0053253173828125 -0.00042724609375 -0.995086669921875
Gyro: 0.027342408895492554 0.006318349856883287 -0.0003802994033321738
Acce: 0.0066375732421875 0.000335693359375 -0.99578857421875
Gyro: 0.02780473232269287 0.007305583450943232 0.0006761765689589083
Acce: 0.006195068359375 0.0005035400390625 -0.9938812255859375
Gyro: 0.02702682465314865 0.007454187609255314 -0.0006056028068996966
Acce: 0.006195068359375 0.0005035400390625 -0.9938812255859375
Gyro: 0.027692614123225212 0.006447779480367899 -0.0002854908525478095
Acce: 0.0062103271484375 6.103515625e-05 -0.9954681396484375
Gyro: 0.02630297653377056 0.007721036672592163 0.00016325176693499088
Acce: 0.0059661865234375 -0.0006561279296875 -0.9955291748046875
Gyro: 0.02810167521238327 0.007439274340867996 -0.00032863407977856696
Acce: 0.0060882568359375 0.000823974609375 -0.99456787109375
Gyro: 0.02810167521238327 0.007439274340867996 -0.00032863407977856696
Acce: 0.00616455078125 -0.00042724609375 -0.9957122802734375
Gyro: 0.026435868814587593 0.007072556763887405 0.00038056570338085294
Acce: 0.00616455078125 -0.00042724609375 -0.9957122802734375
Gyro: 0.029044700786471367 0.007284278050065041 -0.00023036343918647617
Acce: 0.005706787109375 0.0010528564453125 -0.994476318359375
Gyro: 0.02659539133310318 0.007273891940712929 0.00044581317342817783
Acce: 0.0068206787109375 0.000213623046875 -0.9956512451171875
Gyro: 0.027845213189721107 0.009034507907927036 -0.0013230583863332868
Acce: 0.0052490234375 0.0004425048828125 -0.996185302734375
Gyro: 0.027845213189721107 0.009034507907927036 -0.0013230583863332868
Acce: 0.00640869140625 0.0014495849609375 -0.9949951171875
Gyro: 0.02876187302172184 0.007475493010133505 0.00023515711654908955
Acce: 0.005523681640625 -0.000152587890625 -0.9954376220703125
Gyro: 0.02732083760201931 0.00758042186498642 0.0006165218073874712
Acce: 0.005523681640625 -0.000152587890625 -0.9954376220703125
Gyro: 0.028142955154180527 0.008294148370623589 0.00033662354690022767
Acce: 0.00579833984375 0.0001373291015625 -0.9947967529296875
Gyro: 0.02786678448319435 0.0060357884503901005 -4.1811628761934116e-05
Acce: 0.005279541015625 0.0008544921875 -0.9944915771484375
Gyro: 0.027168238535523415 0.007641940843313932 -0.0012958941515535116
Acce: 0.00628662109375 -0.0009307861328125 -0.997314453125
Gyro: 0.027168238535523415 0.007641940843313932 -0.0012958941515535116
Acce: 0.0052642822265625 0.000579833984375 -0.9944915771484375
Gyro: 0.026214027777314186 0.006452306639403105 0.0010953581659123302
Acce: 0.0055084228515625 -0.0005035400390625 -0.9947967529296875
Gyro: 0.028774656355381012 0.009091765619814396 0.0008799084462225437
Acce: 0.0055084228515625 -0.0005035400390625 -0.9947967529296875
Gyro: 0.02749181166291237 0.006028331350535154 0.0006639260682277381
Acce: 0.0062103271484375 0.0001983642578125 -0.9940185546875
Gyro: 0.028005002066493034 0.007207578979432583 0.0003382214636076242
Acce: 0.00653076171875 -0.0003814697265625 -0.9954681396484375
Gyro: 0.026334401220083237 0.009653160348534584 -0.0001752359967213124
Acce: 0.0054931640625 -0.000396728515625 -0.99615478515625
Gyro: 0.026334401220083237 0.009653160348534584 -0.0001752359967213124
Acce: 0.00653076171875 -0.0001678466796875 -0.994537353515625
Gyro: 0.02767743356525898 0.009909622371196747 0.00024181502521969378
Acce: 0.00653076171875 -0.0001678466796875 -0.994537353515625
Gyro: 0.028054004535079002 0.006404103245586157 0.001547030289657414
Acce: 0.0056304931640625 0.0005035400390625 -0.9951324462890625
Gyro: 0.02719486877322197 0.007617439609020948 -0.0009552759001962841
Acce: 0.0063323974609375 -0.00042724609375 -0.9954681396484375
Gyro: 0.02652961201965809 0.007836084812879562 -0.0012128035305067897
Acce: 0.0055084228515625 0.00030517578125 -0.996246337890625
Gyro: 0.02652961201965809 0.007836084812879562 -0.0012128035305067897
Acce: 0.0075836181640625 0.0002593994140625 -0.9946746826171875
Gyro: 0.02750406228005886 0.006171077024191618 0.00023808660625945777
Acce: 0.0063018798828125 -0.0010833740234375 -0.9948272705078125
Gyro: 0.02792803756892681 0.00848829373717308 0.00011771172285079956
Acce: 0.0063018798828125 -0.0010833740234375 -0.9948272705078125
Gyro: 0.02798236533999443 0.006250439211726189 0.00031851406674832106
Acce: 0.00677490234375 0.00054931640625 -0.995452880859375
Gyro: 0.02617407962679863 0.0070890686474740505 -0.001169394003227353
Acce: 0.0055084228515625 0.000152587890625 -0.996185302734375
Gyro: 0.02731098234653473 0.008747152984142303 -0.0010519486386328936
Acce: 0.005218505859375 0.0008392333984375 -0.9951019287109375
Gyro: 0.02731098234653473 0.008747152984142303 -0.0010519486386328936
Acce: 0.0063018798828125 -0.00054931640625 -0.9951324462890625
Gyro: 0.02799168787896633 0.008077367208898067 0.0013528858544304967
Acce: 0.0058135986328125 0.0012664794921875 -0.9948883056640625
Gyro: 0.02719753235578537 0.00675324397161603 -0.0014274542918428779
Acce: 0.0058135986328125 0.0012664794921875 -0.9948883056640625
Gyro: 0.02636263146996498 0.008806008845567703 -0.0006154565489850938
Acce: 0.0069427490234375 0.000457763671875 -0.9951019287109375
Gyro: 0.027115773409605026 0.007671768311411142 0.0002324939559912309
Acce: 0.00628662109375 0.0008087158203125 -0.994415283203125
Gyro: 0.029021531343460083 0.007918376475572586 0.0005520732956938446
Acce: 0.005462646484375 -0.000152587890625 -0.9955596923828125
Gyro: 0.029021531343460083 0.007918376475572586 0.0005520732956938446
Acce: 0.0068206787109375 0.0008697509765625 -0.995208740234375
Gyro: 0.027828700840473175 0.00800279900431633 0.0011435613268986344
Acce: 0.006011962890625 -0.0005035400390625 -0.99664306640625
Gyro: 0.027696076780557632 0.0066062374971807 0.0004290352517273277
Acce: 0.006011962890625 -0.0005035400390625 -0.99664306640625
Gyro: 0.027848143130540848 0.007849933579564095 7.590009045088664e-05
Acce: 0.0062255859375 0.0001678466796875 -0.9951934814453125
Gyro: 0.027897944673895836 0.008550877682864666 0.0003094593121204525
Acce: 0.00677490234375 0.0003509521484375 -0.99462890625
Gyro: 0.027897944673895836 0.008550877682864666 0.0003094593121204525
Acce: 0.0058135986328125 0.000152587890625 -0.9944305419921875
Gyro: 0.02913018874824047 0.006927947048097849 -0.0011478224769234657
Acce: 0.0056304931640625 6.103515625e-05 -0.9954376220703125
Gyro: 0.02768861874938011 0.006828344892710447 -0.0003531351685523987
Acce: 0.0056304931640625 6.103515625e-05 -0.9954376220703125
Gyro: 0.027003919705748558 0.007170028518885374 -0.0002681803307496011
Acce: 0.0057830810546875 0.0005340576171875 -0.9954833984375
Gyro: 0.028361599892377853 0.0062339273281395435 0.0004620584368240088
Acce: 0.0058135986328125 -0.000518798828125 -0.994598388671875
Gyro: 0.02732696197926998 0.007978297770023346 -0.0002814961189869791
Acce: 0.00634765625 0.000152587890625 -0.9943084716796875
Gyro: 0.02732696197926998 0.007978297770023346 -0.0002814961189869791
Acce: 0.0059661865234375 0.000152587890625 -0.994903564453125
Gyro: 0.028554679825901985 0.007933557033538818 -7.989483492565341e-06
Acce: 0.006622314453125 0.0003814697265625 -0.99560546875
Gyro: 0.027342408895492554 0.006424875929951668 0.000606668065302074
Acce: 0.006622314453125 0.0003814697265625 -0.99560546875
Gyro: 0.02617274783551693 0.007785751484334469 -0.0013068130938336253
Acce: 0.006072998046875 0.00103759765625 -0.993865966796875
Gyro: 0.028506210073828697 0.007474694401025772 -0.0007787083159200847
Acce: 0.006805419921875 -4.57763671875e-05 -0.995025634765625
Gyro: 0.02629072591662407 0.007764978799968958 -0.0013203952694311738
Acce: 0.005889892578125 -3.0517578125e-05 -0.9943389892578125
Gyro: 0.02629072591662407 0.007764978799968958 -0.0013203952694311738
Acce: 0.0050811767578125 0.0010833740234375 -0.995147705078125
Gyro: 0.027123229578137398 0.007140467409044504 -0.00044048685231246054
Acce: 0.0050811767578125 0.0010833740234375 -0.995147705078125
Gyro: 0.027243338525295258 0.006246977020055056 0.0005379585199989378
Acce: 0.005706787109375 9.1552734375e-05 -0.99505615234375
Gyro: 0.02785426750779152 0.009180715307593346 -0.0010634001810103655
Acce: 0.006744384765625 6.103515625e-05 -0.99542236328125
Gyro: 0.026263827458024025 0.007738347165286541 0.0005185174522921443
Acce: 0.006744384765625 0.0006256103515625 -0.994171142578125
Gyro: 0.026263827458024025 0.007738347165286541 0.0005185174522921443
Acce: 0.006072998046875 0.0001983642578125 -0.9956512451171875
Gyro: 0.02804548293352127 0.00643899105489254 0.00017976337403524667
Acce: 0.006988525390625 0.0004425048828125 -0.9935150146484375
Gyro: 0.027906998991966248 0.00875008199363947 0.0002913498319685459
Acce: 0.006988525390625 0.0004425048828125 -0.9935150146484375
Gyro: 0.028180770576000214 0.006882673595100641 -0.00026285400963388383
Acce: 0.0057830810546875 -0.000152587890625 -0.9948883056640625
Gyro: 0.027530694380402565 0.007472829893231392 -0.001424791174940765
Acce: 0.006011962890625 -0.0001068115234375 -0.9956817626953125
Gyro: 0.02899862825870514 0.007527424953877926 -0.0001448759576305747
Acce: 0.005096435546875 -0.0008697509765625 -0.9949188232421875
Gyro: 0.02899862825870514 0.007527424953877926 -0.0001448759576305747
Acce: 0.0061187744140625 0.0003509521484375 -0.994537353515625
Gyro: 0.027622040361166 0.007284810766577721 0.00035499935620464385
Acce: 0.0052947998046875 0.0003662109375 -0.99407958984375
Gyro: 0.027698472142219543 0.007732754573225975 -0.001258609932847321
Acce: 0.0052947998046875 0.0003662109375 -0.99407958984375
Gyro: 0.028560537844896317 0.00495054991915822 -0.00016165387933142483
Acce: 0.0052947998046875 0.000946044921875 -0.99517822265625
Gyro: 0.028128040954470634 0.007880826480686665 0.0005912217311561108
Acce: 0.0058441162109375 0.0003662109375 -0.99383544921875
Gyro: 0.028548819944262505 0.006989466026425362 -0.00022956448083277792
Acce: 0.0058441162109375 -0.000885009765625 -0.9952392578125
Gyro: 0.028548819944262505 0.006989466026425362 -0.00022956448083277792
Acce: 0.0059967041015625 -0.0005950927734375 -0.994110107421875
Gyro: 0.027126425877213478 0.007611314300447702 -4.5273736759554595e-05
Acce: 0.0059967041015625 -0.0005950927734375 -0.994110107421875
Gyro: 0.029215143993496895 0.006286657880991697 -0.0008226504432968795
Acce: 0.00628662109375 -0.0009613037109375 -0.9931640625
Gyro: 0.027605261653661728 0.006681338418275118 -0.001076715998351574
Acce: 0.00665283203125 0.0003509521484375 -0.9949951171875
Gyro: 0.026669161394238472 0.007670702878385782 -0.0005672533297911286
Acce: 0.0045318603515625 -0.0007171630859375 -0.99566650390625
Gyro: 0.026669161394238472 0.007670702878385782 -0.0005672533297911286
Acce: 0.00653076171875 0.0017852783203125 -0.9945068359375
Gyro: 0.0272689051926136 0.007684284821152687 -0.0002585929469205439
Acce: 0.005889892578125 0.0010986328125 -0.995208740234375
Gyro: 0.02761245332658291 0.00729386555030942 0.0005174521938897669
Acce: 0.005889892578125 0.0010986328125 -0.995208740234375
Gyro: 0.027936026453971863 0.007242999039590359 0.0005251753609627485
Acce: 0.0059814453125 3.0517578125e-05 -0.995086669921875
Gyro: 0.026065688580274582 0.0073447320610284805 0.0004743089957628399
Acce: 0.0060272216796875 0.0004119873046875 -0.9958038330078125
Gyro: 0.02816639095544815 0.008705607615411282 6.311691686278209e-05
Acce: 0.0054779052734375 0.000823974609375 -0.9947052001953125
Gyro: 0.02816639095544815 0.008705607615411282 6.311691686278209e-05
Acce: 0.005126953125 0.0003509521484375 -0.99407958984375
Gyro: 0.02901167795062065 0.00683154072612524 0.001564873498864472
Acce: 0.0053863525390625 0.0008697509765625 -0.9958953857421875
Gyro: 0.027832696214318275 0.007248591631650925 -0.0008559399866499007
Acce: 0.0053863525390625 0.0008697509765625 -0.9958953857421875
Gyro: 0.027283553034067154 0.008094144985079765 -0.0009416937828063965
Acce: 0.0057220458984375 0.001251220703125 -0.993865966796875
Gyro: 0.02725479006767273 0.007470965851098299 7.74979853304103e-05
Acce: 0.0059051513671875 0.0 -0.99481201171875
Gyro: 0.027119236066937447 0.007408381439745426 -0.0006609965930692852
Acce: 0.0057220458984375 0.0009002685546875 -0.9945831298828125
Gyro: 0.027119236066937447 0.007408381439745426 -0.0006609965930692852
Acce: 0.0067596435546875 -0.0004119873046875 -0.9932098388671875
Gyro: 0.027237214148044586 0.00806458480656147 0.0012381036067381501
Acce: 0.0067596435546875 -0.0004119873046875 -0.9932098388671875
Gyro: 0.02809182181954384 0.007722634356468916 0.0002359560749027878
Acce: 0.0057525634765625 -0.0003662109375 -0.994110107421875
Gyro: 0.026670226827263832 0.007956726476550102 0.0002287655370309949
Acce: 0.005706787109375 1.52587890625e-05 -0.994384765625
Gyro: 0.02773921936750412 0.006147907115519047 -0.0005416869535110891
Acce: 0.0059967041015625 0.001373291015625 -0.9943389892578125
Gyro: 0.02773921936750412 0.006147907115519047 -0.0005416869535110891
Acce: 0.0058746337890625 -0.000579833984375 -0.99322509765625
Gyro: 0.028786640614271164 0.006957774516195059 -0.001401089015416801
Acce: 0.0063629150390625 0.00054931640625 -0.9946136474609375
Gyro: 0.027993550524115562 0.007199589628726244 0.0005645901546813548
Acce: 0.0063629150390625 0.00054931640625 -0.9946136474609375
Gyro: 0.027053987607359886 0.009938118048012257 -6.125270738266408e-05
Acce: 0.00592041015625 0.0008392333984375 -0.9939117431640625
Gyro: 0.027640415355563164 0.008087754249572754 -0.00016245282313320786
Acce: 0.006378173828125 0.0013885498046875 -0.9951171875
Gyro: 0.026807911694049835 0.007193464320152998 -0.0013938985066488385
Acce: 0.0056304931640625 0.0002899169921875 -0.994476318359375
Gyro: 0.026807911694049835 0.007193464320152998 -0.0013938985066488385
Acce: 0.006195068359375 0.0001678466796875 -0.9960479736328125
Gyro: 0.027837757021188736 0.00817776843905449 9.241169027518481e-05
Acce: 0.0063934326171875 0.0003662109375 -0.99493408203125
Gyro: 0.0281557384878397 0.006416886579245329 -0.0002985403698403388
Acce: 0.0063934326171875 0.0003662109375 -0.99493408203125
Gyro: 0.027515513822436333 0.007608118467032909 -0.0011443602852523327
Acce: 0.0070953369140625 -0.00048828125 -0.9942626953125
Gyro: 0.028388764709234238 0.00749040674418211 -0.0004442152567207813
Acce: 0.005645751953125 0.0007781982421875 -0.9943695068359375
Gyro: 0.027825240045785904 0.008622250519692898 0.00024740767548792064
Acce: 0.0050506591796875 0.0009918212890625 -0.99334716796875
Gyro: 0.027825240045785904 0.008622250519692898 0.00024740767548792064
